annee,semestre,carte,anonymat,ue,credit,nom_prenoms,sexe,note,cohorte,filiere
2018-2019,1,A00021,A635528B,ANG1100,2,AÃ¯cha Awa,F,13.77,2018,GE
2018-2019,1,A00022,A2FD8F2B,ANG1100,2,Kouriba Brahima,M,14.01,2018,GC
2018-2019,1,A00023,A5AA60C3,ANG1100,2,Alou Fanta,F,14.4,2018,SRI
2018-2019,1,A00024,AEA090BD,ANG1100,2,Dabo Fousseyni,M,6.63,2018,GL
2018-2019,1,A00025,A3AF5D64,ANG1100,2,Sissoko Alima,F,14.51,2018,LT
2018-2019,1,A00026,A119731E,ANG1100,2,ZouolÃ© Sitan,F,12.19,2018,IA
2018-2019,1,A00027,A0B26D86,ANG1100,2,Habib Bakary,M,15.38,2018,IS
2018-2019,1,A00028,ADC06B36,ANG1100,2,ZouolÃ© Daouda,M,12.3,2018,GL
2018-2019,1,A00029,A1BF00E4,ANG1100,2,KouyatÃ© AÃ¯cha,F,18.28,2018,IA
2018-2019,1,A00030,AE07C73B,ANG1100,2,Sali Younoussa,M,7.95,2018,SRI
2018-2019,1,A00031,A7855127,ANG1100,2,Zouma Ladji,M,15.02,2018,GL
2018-2019,1,A00032,A85C9439,ANG1100,2,Awa Sada,M,10.95,2018,GL
2018-2019,1,A00033,A594878E,ANG1100,2,Younoussa Zakari,M,13.1,2018,IA
2018-2019,1,A00034,A34E178D,ANG1100,2,Amadou SoumaÃ¯la,M,15.95,2018,GM
2018-2019,1,A00035,A2216B8C,ANG1100,2,Mariam Sidi,M,15.94,2018,IA
2018-2019,1,A00036,AFD7145D,ANG1100,2,Berg Fanta,F,12.73,2018,SRI
2018-2019,1,A00037,A558D4DD,ANG1100,2,Nana Ladji,M,3.23,2018,GL
2018-2019,1,A00038,A1D1234F,ANG1100,2,Hawa Kassim,M,10.58,2018,SRI
2018-2019,1,A00039,A5D3AB0C,ANG1100,2,Zongo Zakari,M,9.74,2018,GL
2018-2019,1,A00040,AD3F9385,ANG1100,2,Younoussa Amadou,M,9.81,2018,SRI
2018-2019,1,A00041,A5203DB4,ANG1100,2,Zoumana Adama,M,14.13,2018,SRI
2018-2019,1,A00042,ADFD273D,ANG1100,2,Guindo Akissi,F,12.01,2018,GC
2018-2019,1,A00043,AD2238B2,ANG1100,2,Aminata Abdou,M,5.92,2018,IS
2018-2019,1,A00044,AA0CCCF7,ANG1100,2,Gakou Mahamane,M,12.66,2018,GM
2018-2019,1,A00045,A9F79AB9,ANG1100,2,KÃ©ita Souleymane,M,11.9,2018,LT
2018-2019,1,A00046,A2DE6ED3,ANG1100,2,Zoumana Mahamadou,M,8.75,2018,GE
2018-2019,1,A00047,A4DD506A,ANG1100,2,Halima Mariam,F,12.76,2018,SRI
2018-2019,1,A00048,AAF2E658,ANG1100,2,Mamadou Ladji,M,14.23,2018,SRI
2018-2019,1,A00049,A91159B4,ANG1100,2,Yattabaye Fousseyni,M,14.52,2018,GC
2018-2019,1,A00050,A28B2F1F,ANG1100,2,Coulibaly Abdoulaye,M,5.83,2018,GE
2018-2019,1,A00051,A69FCDA9,ANG1100,2,Bamba Zacharie,M,12.79,2018,IA
2018-2019,1,A00052,A0721469,ANG1100,2,Keita Ahou,F,13.1,2018,SRI
2018-2019,1,A00053,ADA5DE31,ANG1100,2,Ouattara Lamine,M,18.78,2018,GL
2018-2019,1,A00054,AEFC20CB,ANG1100,2,Lala Rachid,M,15.78,2018,IS
2018-2019,1,A00055,A7DB1011,ANG1100,2,Halima Adama,M,14.54,2018,IS
2018-2019,1,A00056,AE44530C,ANG1100,2,Fatoumata Lassana,M,8.91,2018,IA
2018-2019,1,A00057,A212C519,ANG1100,2,Keita Cheick,M,16.33,2018,LT
2018-2019,1,A00058,A054EFA7,ANG1100,2,Barry Hadja,F,13.59,2018,LT
2018-2019,1,A00059,AF868073,ANG1100,2,Haidara Rachid,M,19.11,2018,SRI
2018-2019,1,A00060,AF8C0FB6,ANG1100,2,Amadou SoumaÃ¯la,M,10.18,2018,LT
2018-2019,1,A00061,A8019220,ANG1100,2,KonatÃ© Abdoulaye,M,10.41,2018,GE
2018-2019,1,A00062,AB4B45B9,ANG1100,2,Yattabaye Alhassane,M,12.64,2018,LT
2018-2019,1,A00063,A4D70C61,ANG1100,2,Boly Fatoumata,F,16.75,2018,LT
2018-2019,1,A00064,AC6C8B80,ANG1100,2,Yacouba Cheick,M,18.17,2018,GL
2018-2019,1,A00065,A20CD892,ANG1100,2,KÃ©ita Karim,M,8.24,2018,IA
2018-2019,1,A00066,AC454E81,ANG1100,2,Ouattara Cheick,M,12.79,2018,IS
2018-2019,1,A00067,A05C5D87,ANG1100,2,Zacharie Modibo,M,11.78,2018,GM
2018-2019,1,A00068,A8217CA2,ANG1100,2,Nabintou Zakari,M,12.7,2018,GE
2018-2019,1,A00069,A8DCB59F,ANG1100,2,TraorÃ© Vieux,M,12.84,2018,GM
2018-2019,1,A00070,A865E07C,ANG1100,2,Sylla Elhadj,M,7.33,2018,GL
2018-2019,1,A00071,AA4263C7,ANG1100,2,Hadja Modibo,M,8.94,2018,GM
2018-2019,1,A00072,A6BE84F8,ANG1100,2,Salif Moussa,M,8.11,2018,LT
2018-2019,1,A00073,A3A87054,ANG1100,2,Kadiatou Oumar,M,7.66,2018,GL
2018-2019,1,A00074,AC0E59D7,ANG1100,2,SidibÃ© Issa,M,10.64,2018,GM
2018-2019,1,A00075,A7DEC896,ANG1100,2,Makan Habib,M,9.07,2018,IS
2018-2019,1,A00076,A3C7379B,ANG1100,2,Salif Mahamane,M,15.26,2018,SRI
2018-2019,1,A00077,AC945840,ANG1100,2,Bissikolo Mahamane,M,15.28,2018,IA
2018-2019,1,A00078,A6C3024C,ANG1100,2,Gakou Mahamane,M,12.3,2018,GC
2018-2019,1,A00079,A9BE53FF,ANG1100,2,Djibril Alhassane,M,10.5,2018,GC
2018-2019,1,A00080,ABD41A83,ANG1100,2,Lassana Sidi,M,11.54,2018,GC
2018-2019,1,A00001,A5646F46,ECO1101,2,Adama Kadidia,F,13.06,2018,IS
2018-2019,1,A00002,A2BDCDD8,ECO1101,2,KantÃ© Ousmane,M,8.93,2018,GE
2018-2019,1,A00003,A6BAFDCB,ECO1101,2,SidibÃ© Rabi,F,9.8,2018,IA
2018-2019,1,A00004,A7AC0A37,ECO1101,2,WagatÃ© Ousmane,M,10.5,2018,LT
2018-2019,1,A00005,AD6B6E40,ECO1101,2,TourÃ© AssÃ©tou,F,12.27,2018,GE
2018-2019,1,A00006,A91D111B,ECO1101,2,Bissikolo Mohamed,M,14.03,2018,SRI
2018-2019,1,A00007,A13C4CB0,ECO1101,2,DjitÃ© Zakari,M,12.07,2018,SRI
2018-2019,1,A00008,A40B7CFA,ECO1101,2,Sow Abdou,M,13.94,2018,GL
2018-2019,1,A00009,A54E8907,ECO1101,2,Bakary Zou,F,9.72,2018,SRI
2018-2019,1,A00010,A8B32663,ECO1101,2,KouyatÃ© Zacharie,M,15.37,2018,LT
2018-2019,1,A00011,AEB4508E,ECO1101,2,Amadou Lassana,M,10.71,2018,IS
2018-2019,1,A00012,A6FF448D,ECO1101,2,Cheick Harouna,M,8.13,2018,IS
2018-2019,1,A00013,AC6FEFC2,ECO1101,2,Salif Boureima,M,6.49,2018,LT
2018-2019,1,A00014,A14E7953,ECO1101,2,Alou Adama,M,10.73,2018,GM
2018-2019,1,A00015,A6AAFE49,ECO1101,2,Issa Zara,F,8.09,2018,IA
2018-2019,1,A00016,AAF92C17,ECO1101,2,Bintou Fousseyni,M,7.37,2018,GM
2018-2019,1,A00017,AF69C4C9,ECO1101,2,Karim Souleymane,M,10.98,2018,IS
2018-2019,1,A00018,A557AC5E,ECO1101,2,Fanta Sada,M,14.4,2018,IS
2018-2019,1,A00019,A0825C1F,ECO1101,2,KÃ©ita Amadou,M,6.57,2018,IS
2018-2019,1,A00020,A274F380,ECO1101,2,Gakou Mahamadou,M,6.61,2018,IA
2018-2019,1,A00021,A635528B,ECO1101,2,AÃ¯cha Awa,F,11.16,2018,GE
2018-2019,1,A00022,A2FD8F2B,ECO1101,2,Kouriba Brahima,M,15.92,2018,GC
2018-2019,1,A00023,A5AA60C3,ECO1101,2,Alou Fanta,F,11.61,2018,SRI
2018-2019,1,A00024,AEA090BD,ECO1101,2,Dabo Fousseyni,M,11.66,2018,GL
2018-2019,1,A00025,A3AF5D64,ECO1101,2,Sissoko Alima,F,10.0,2018,LT
2018-2019,1,A00026,A119731E,ECO1101,2,ZouolÃ© Sitan,F,9.32,2018,IA
2018-2019,1,A00027,A0B26D86,ECO1101,2,Habib Bakary,M,9.39,2018,IS
2018-2019,1,A00028,ADC06B36,ECO1101,2,ZouolÃ© Daouda,M,11.32,2018,GL
2018-2019,1,A00029,A1BF00E4,ECO1101,2,KouyatÃ© AÃ¯cha,F,13.02,2018,IA
2018-2019,1,A00030,AE07C73B,ECO1101,2,Sali Younoussa,M,9.13,2018,SRI
2018-2019,1,A00031,A7855127,ECO1101,2,Zouma Ladji,M,12.3,2018,GL
2018-2019,1,A00032,A85C9439,ECO1101,2,Awa Sada,M,8.76,2018,GL
2018-2019,1,A00033,A594878E,ECO1101,2,Younoussa Zakari,M,15.66,2018,IA
2018-2019,1,A00034,A34E178D,ECO1101,2,Amadou SoumaÃ¯la,M,15.54,2018,GM
2018-2019,1,A00035,A2216B8C,ECO1101,2,Mariam Sidi,M,7.37,2018,IA
2018-2019,1,A00036,AFD7145D,ECO1101,2,Berg Fanta,F,7.27,2018,SRI
2018-2019,1,A00037,A558D4DD,ECO1101,2,Nana Ladji,M,8.64,2018,GL
2018-2019,1,A00038,A1D1234F,ECO1101,2,Hawa Kassim,M,11.55,2018,SRI
2018-2019,1,A00039,A5D3AB0C,ECO1101,2,Zongo Zakari,M,8.57,2018,GL
2018-2019,1,A00040,AD3F9385,ECO1101,2,Younoussa Amadou,M,5.22,2018,SRI
2018-2019,1,A00041,A5203DB4,ECO1101,2,Zoumana Adama,M,12.97,2018,SRI
2018-2019,1,A00042,ADFD273D,ECO1101,2,Guindo Akissi,F,17.31,2018,GC
2018-2019,1,A00043,AD2238B2,ECO1101,2,Aminata Abdou,M,12.81,2018,IS
2018-2019,1,A00044,AA0CCCF7,ECO1101,2,Gakou Mahamane,M,10.75,2018,GM
2018-2019,1,A00045,A9F79AB9,ECO1101,2,KÃ©ita Souleymane,M,11.01,2018,LT
2018-2019,1,A00046,A2DE6ED3,ECO1101,2,Zoumana Mahamadou,M,12.65,2018,GE
2018-2019,1,A00047,A4DD506A,ECO1101,2,Halima Mariam,F,8.91,2018,SRI
2018-2019,1,A00048,AAF2E658,ECO1101,2,Mamadou Ladji,M,11.19,2018,SRI
2018-2019,1,A00049,A91159B4,ECO1101,2,Yattabaye Fousseyni,M,12.81,2018,GC
2018-2019,1,A00050,A28B2F1F,ECO1101,2,Coulibaly Abdoulaye,M,12.39,2018,GE
2018-2019,1,A00051,A69FCDA9,ECO1101,2,Bamba Zacharie,M,12.57,2018,IA
2018-2019,1,A00052,A0721469,ECO1101,2,Keita Ahou,F,12.9,2018,SRI
2018-2019,1,A00053,ADA5DE31,ECO1101,2,Ouattara Lamine,M,8.33,2018,GL
2018-2019,1,A00054,AEFC20CB,ECO1101,2,Lala Rachid,M,14.78,2018,IS
2018-2019,1,A00055,A7DB1011,ECO1101,2,Halima Adama,M,13.18,2018,IS
2018-2019,1,A00056,AE44530C,ECO1101,2,Fatoumata Lassana,M,8.72,2018,IA
2018-2019,1,A00057,A212C519,ECO1101,2,Keita Cheick,M,15.02,2018,LT
2018-2019,1,A00058,A054EFA7,ECO1101,2,Barry Hadja,F,11.53,2018,LT
2018-2019,1,A00059,AF868073,ECO1101,2,Haidara Rachid,M,15.46,2018,SRI
2018-2019,1,A00060,AF8C0FB6,ECO1101,2,Amadou SoumaÃ¯la,M,11.43,2018,LT
2018-2019,1,A00061,A8019220,ECO1101,2,KonatÃ© Abdoulaye,M,10.78,2018,GE
2018-2019,1,A00062,AB4B45B9,ECO1101,2,Yattabaye Alhassane,M,8.61,2018,LT
2018-2019,1,A00063,A4D70C61,ECO1101,2,Boly Fatoumata,F,13.03,2018,LT
2018-2019,1,A00064,AC6C8B80,ECO1101,2,Yacouba Cheick,M,11.04,2018,GL
2018-2019,1,A00065,A20CD892,ECO1101,2,KÃ©ita Karim,M,5.23,2018,IA
2018-2019,1,A00066,AC454E81,ECO1101,2,Ouattara Cheick,M,15.99,2018,IS
2018-2019,1,A00067,A05C5D87,ECO1101,2,Zacharie Modibo,M,12.94,2018,GM
2018-2019,1,A00068,A8217CA2,ECO1101,2,Nabintou Zakari,M,14.7,2018,GE
2018-2019,1,A00069,A8DCB59F,ECO1101,2,TraorÃ© Vieux,M,9.03,2018,GM
2018-2019,1,A00070,A865E07C,ECO1101,2,Sylla Elhadj,M,15.1,2018,GL
2018-2019,1,A00071,AA4263C7,ECO1101,2,Hadja Modibo,M,9.74,2018,GM
2018-2019,1,A00072,A6BE84F8,ECO1101,2,Salif Moussa,M,9.2,2018,LT
2018-2019,1,A00073,A3A87054,ECO1101,2,Kadiatou Oumar,M,10.43,2018,GL
2018-2019,1,A00074,AC0E59D7,ECO1101,2,SidibÃ© Issa,M,12.66,2018,GM
2018-2019,1,A00075,A7DEC896,ECO1101,2,Makan Habib,M,10.23,2018,IS
2018-2019,1,A00076,A3C7379B,ECO1101,2,Salif Mahamane,M,11.46,2018,SRI
2018-2019,1,A00077,AC945840,ECO1101,2,Bissikolo Mahamane,M,10.34,2018,IA
2018-2019,1,A00078,A6C3024C,ECO1101,2,Gakou Mahamane,M,11.22,2018,GC
2018-2019,1,A00079,A9BE53FF,ECO1101,2,Djibril Alhassane,M,15.7,2018,GC
2018-2019,1,A00080,ABD41A83,ECO1101,2,Lassana Sidi,M,12.0,2018,GC
2018-2019,1,A00001,A5646F46,INF1102,2,Adama Kadidia,F,12.5,2018,IS
2018-2019,1,A00002,A2BDCDD8,INF1102,2,KantÃ© Ousmane,M,13.46,2018,GE
2018-2019,1,A00003,A6BAFDCB,INF1102,2,SidibÃ© Rabi,F,13.52,2018,IA
2018-2019,1,A00004,A7AC0A37,INF1102,2,WagatÃ© Ousmane,M,10.29,2018,LT
2018-2019,1,A00005,AD6B6E40,INF1102,2,TourÃ© AssÃ©tou,F,10.85,2018,GE
2018-2019,1,A00006,A91D111B,INF1102,2,Bissikolo Mohamed,M,13.8,2018,SRI
2018-2019,1,A00007,A13C4CB0,INF1102,2,DjitÃ© Zakari,M,11.31,2018,SRI
2018-2019,1,A00008,A40B7CFA,INF1102,2,Sow Abdou,M,10.01,2018,GL
2018-2019,1,A00009,A54E8907,INF1102,2,Bakary Zou,F,15.23,2018,SRI
2018-2019,1,A00010,A8B32663,INF1102,2,KouyatÃ© Zacharie,M,18.32,2018,LT
2018-2019,1,A00011,AEB4508E,INF1102,2,Amadou Lassana,M,6.97,2018,IS
2018-2019,1,A00012,A6FF448D,INF1102,2,Cheick Harouna,M,11.96,2018,IS
2018-2019,1,A00013,AC6FEFC2,INF1102,2,Salif Boureima,M,14.71,2018,LT
2018-2019,1,A00014,A14E7953,INF1102,2,Alou Adama,M,14.36,2018,GM
2018-2019,1,A00015,A6AAFE49,INF1102,2,Issa Zara,F,13.83,2018,IA
2018-2019,1,A00016,AAF92C17,INF1102,2,Bintou Fousseyni,M,11.32,2018,GM
2018-2019,1,A00017,AF69C4C9,INF1102,2,Karim Souleymane,M,10.07,2018,IS
2018-2019,1,A00018,A557AC5E,INF1102,2,Fanta Sada,M,10.11,2018,IS
2018-2019,1,A00019,A0825C1F,INF1102,2,KÃ©ita Amadou,M,14.2,2018,IS
2018-2019,1,A00020,A274F380,INF1102,2,Gakou Mahamadou,M,12.68,2018,IA
2018-2019,1,A00021,A635528B,INF1102,2,AÃ¯cha Awa,F,18.97,2018,GE
2018-2019,1,A00022,A2FD8F2B,INF1102,2,Kouriba Brahima,M,18.03,2018,GC
2018-2019,1,A00023,A5AA60C3,INF1102,2,Alou Fanta,F,12.22,2018,SRI
2018-2019,1,A00024,AEA090BD,INF1102,2,Dabo Fousseyni,M,7.61,2018,GL
2018-2019,1,A00025,A3AF5D64,INF1102,2,Sissoko Alima,F,13.03,2018,LT
2018-2019,1,A00026,A119731E,INF1102,2,ZouolÃ© Sitan,F,14.05,2018,IA
2018-2019,1,A00027,A0B26D86,INF1102,2,Habib Bakary,M,9.41,2018,IS
2018-2019,1,A00028,ADC06B36,INF1102,2,ZouolÃ© Daouda,M,10.95,2018,GL
2018-2019,1,A00029,A1BF00E4,INF1102,2,KouyatÃ© AÃ¯cha,F,14.32,2018,IA
2018-2019,1,A00030,AE07C73B,INF1102,2,Sali Younoussa,M,9.53,2018,SRI
2018-2019,1,A00031,A7855127,INF1102,2,Zouma Ladji,M,11.3,2018,GL
2018-2019,1,A00032,A85C9439,INF1102,2,Awa Sada,M,11.08,2018,GL
2018-2019,1,A00033,A594878E,INF1102,2,Younoussa Zakari,M,14.33,2018,IA
2018-2019,1,A00034,A34E178D,INF1102,2,Amadou SoumaÃ¯la,M,16.26,2018,GM
2018-2019,1,A00035,A2216B8C,INF1102,2,Mariam Sidi,M,13.36,2018,IA
2018-2019,1,A00036,AFD7145D,INF1102,2,Berg Fanta,F,9.98,2018,SRI
2018-2019,1,A00037,A558D4DD,INF1102,2,Nana Ladji,M,6.58,2018,GL
2018-2019,1,A00038,A1D1234F,INF1102,2,Hawa Kassim,M,15.34,2018,SRI
2018-2019,1,A00039,A5D3AB0C,INF1102,2,Zongo Zakari,M,8.59,2018,GL
2018-2019,1,A00040,AD3F9385,INF1102,2,Younoussa Amadou,M,3.93,2018,SRI
2018-2019,1,A00041,A5203DB4,INF1102,2,Zoumana Adama,M,8.33,2018,SRI
2018-2019,1,A00042,ADFD273D,INF1102,2,Guindo Akissi,F,17.06,2018,GC
2018-2019,1,A00043,AD2238B2,INF1102,2,Aminata Abdou,M,10.72,2018,IS
2018-2019,1,A00044,AA0CCCF7,INF1102,2,Gakou Mahamane,M,10.91,2018,GM
2018-2019,1,A00045,A9F79AB9,INF1102,2,KÃ©ita Souleymane,M,17.4,2018,LT
2018-2019,1,A00046,A2DE6ED3,INF1102,2,Zoumana Mahamadou,M,7.48,2018,GE
2018-2019,1,A00047,A4DD506A,INF1102,2,Halima Mariam,F,11.82,2018,SRI
2018-2019,1,A00048,AAF2E658,INF1102,2,Mamadou Ladji,M,18.56,2018,SRI
2018-2019,1,A00049,A91159B4,INF1102,2,Yattabaye Fousseyni,M,12.94,2018,GC
2018-2019,1,A00050,A28B2F1F,INF1102,2,Coulibaly Abdoulaye,M,8.43,2018,GE
2018-2019,1,A00051,A69FCDA9,INF1102,2,Bamba Zacharie,M,7.95,2018,IA
2018-2019,1,A00052,A0721469,INF1102,2,Keita Ahou,F,9.21,2018,SRI
2018-2019,1,A00053,ADA5DE31,INF1102,2,Ouattara Lamine,M,10.87,2018,GL
2018-2019,1,A00054,AEFC20CB,INF1102,2,Lala Rachid,M,19.25,2018,IS
2018-2019,1,A00055,A7DB1011,INF1102,2,Halima Adama,M,19.44,2018,IS
2018-2019,1,A00056,AE44530C,INF1102,2,Fatoumata Lassana,M,8.32,2018,IA
2018-2019,1,A00057,A212C519,INF1102,2,Keita Cheick,M,20.0,2018,LT
2018-2019,1,A00058,A054EFA7,INF1102,2,Barry Hadja,F,11.93,2018,LT
2018-2019,1,A00059,AF868073,INF1102,2,Haidara Rachid,M,20.0,2018,SRI
2018-2019,1,A00060,AF8C0FB6,INF1102,2,Amadou SoumaÃ¯la,M,11.41,2018,LT
2018-2019,1,A00061,A8019220,INF1102,2,KonatÃ© Abdoulaye,M,12.12,2018,GE
2018-2019,1,A00062,AB4B45B9,INF1102,2,Yattabaye Alhassane,M,15.24,2018,LT
2018-2019,1,A00063,A4D70C61,INF1102,2,Boly Fatoumata,F,20.0,2018,LT
2018-2019,1,A00064,AC6C8B80,INF1102,2,Yacouba Cheick,M,16.64,2018,GL
2018-2019,1,A00065,A20CD892,INF1102,2,KÃ©ita Karim,M,7.29,2018,IA
2018-2019,1,A00066,AC454E81,INF1102,2,Ouattara Cheick,M,17.21,2018,IS
2018-2019,1,A00067,A05C5D87,INF1102,2,Zacharie Modibo,M,9.72,2018,GM
2018-2019,1,A00068,A8217CA2,INF1102,2,Nabintou Zakari,M,11.84,2018,GE
2018-2019,1,A00069,A8DCB59F,INF1102,2,TraorÃ© Vieux,M,13.08,2018,GM
2018-2019,1,A00070,A865E07C,INF1102,2,Sylla Elhadj,M,13.96,2018,GL
2018-2019,1,A00071,AA4263C7,INF1102,2,Hadja Modibo,M,12.26,2018,GM
2018-2019,1,A00072,A6BE84F8,INF1102,2,Salif Moussa,M,10.45,2018,LT
2018-2019,1,A00073,A3A87054,INF1102,2,Kadiatou Oumar,M,15.49,2018,GL
2018-2019,1,A00074,AC0E59D7,INF1102,2,SidibÃ© Issa,M,14.84,2018,GM
2018-2019,1,A00075,A7DEC896,INF1102,2,Makan Habib,M,5.43,2018,IS
2018-2019,1,A00076,A3C7379B,INF1102,2,Salif Mahamane,M,18.05,2018,SRI
2018-2019,1,A00077,AC945840,INF1102,2,Bissikolo Mahamane,M,8.89,2018,IA
2018-2019,1,A00078,A6C3024C,INF1102,2,Gakou Mahamane,M,8.33,2018,GC
2018-2019,1,A00079,A9BE53FF,INF1102,2,Djibril Alhassane,M,13.32,2018,GC
2018-2019,1,A00080,ABD41A83,INF1102,2,Lassana Sidi,M,12.0,2018,GC
2018-2019,1,A00001,A5646F46,PHY1103,4,Adama Kadidia,F,6.89,2018,IS
2018-2019,1,A00002,A2BDCDD8,PHY1103,4,KantÃ© Ousmane,M,13.09,2018,GE
2018-2019,1,A00003,A6BAFDCB,PHY1103,4,SidibÃ© Rabi,F,5.25,2018,IA
2018-2019,1,A00004,A7AC0A37,PHY1103,4,WagatÃ© Ousmane,M,6.51,2018,LT
2018-2019,1,A00005,AD6B6E40,PHY1103,4,TourÃ© AssÃ©tou,F,9.24,2018,GE
2018-2019,1,A00006,A91D111B,PHY1103,4,Bissikolo Mohamed,M,11.27,2018,SRI
2018-2019,1,A00007,A13C4CB0,PHY1103,4,DjitÃ© Zakari,M,12.0,2018,SRI
2018-2019,1,A00008,A40B7CFA,PHY1103,4,Sow Abdou,M,7.27,2018,GL
2018-2019,1,A00009,A54E8907,PHY1103,4,Bakary Zou,F,13.58,2018,SRI
2018-2019,1,A00010,A8B32663,PHY1103,4,KouyatÃ© Zacharie,M,14.45,2018,LT
2018-2019,1,A00011,AEB4508E,PHY1103,4,Amadou Lassana,M,2.5,2018,IS
2018-2019,1,A00012,A6FF448D,PHY1103,4,Cheick Harouna,M,1.8,2018,IS
2018-2019,1,A00013,AC6FEFC2,PHY1103,4,Salif Boureima,M,8.57,2018,LT
2018-2019,1,A00014,A14E7953,PHY1103,4,Alou Adama,M,7.19,2018,GM
2018-2019,1,A00015,A6AAFE49,PHY1103,4,Issa Zara,F,7.23,2018,IA
2018-2019,1,A00016,AAF92C17,PHY1103,4,Bintou Fousseyni,M,8.24,2018,GM
2018-2019,1,A00017,AF69C4C9,PHY1103,4,Karim Souleymane,M,10.88,2018,IS
2018-2019,1,A00018,A557AC5E,PHY1103,4,Fanta Sada,M,14.53,2018,IS
2018-2019,1,A00019,A0825C1F,PHY1103,4,KÃ©ita Amadou,M,5.85,2018,IS
2018-2019,1,A00020,A274F380,PHY1103,4,Gakou Mahamadou,M,3.98,2018,IA
2018-2019,1,A00021,A635528B,PHY1103,4,AÃ¯cha Awa,F,7.62,2018,GE
2018-2019,1,A00022,A2FD8F2B,PHY1103,4,Kouriba Brahima,M,12.75,2018,GC
2018-2019,1,A00023,A5AA60C3,PHY1103,4,Alou Fanta,F,14.72,2018,SRI
2018-2019,1,A00024,AEA090BD,PHY1103,4,Dabo Fousseyni,M,7.12,2018,GL
2018-2019,1,A00025,A3AF5D64,PHY1103,4,Sissoko Alima,F,1.37,2018,LT
2018-2019,1,A00026,A119731E,PHY1103,4,ZouolÃ© Sitan,F,3.79,2018,IA
2018-2019,1,A00027,A0B26D86,PHY1103,4,Habib Bakary,M,3.95,2018,IS
2018-2019,1,A00028,ADC06B36,PHY1103,4,ZouolÃ© Daouda,M,7.8,2018,GL
2018-2019,1,A00029,A1BF00E4,PHY1103,4,KouyatÃ© AÃ¯cha,F,9.05,2018,IA
2018-2019,1,A00030,AE07C73B,PHY1103,4,Sali Younoussa,M,8.48,2018,SRI
2018-2019,1,A00031,A7855127,PHY1103,4,Zouma Ladji,M,9.28,2018,GL
2018-2019,1,A00032,A85C9439,PHY1103,4,Awa Sada,M,11.35,2018,GL
2018-2019,1,A00033,A594878E,PHY1103,4,Younoussa Zakari,M,10.14,2018,IA
2018-2019,1,A00034,A34E178D,PHY1103,4,Amadou SoumaÃ¯la,M,9.23,2018,GM
2018-2019,1,A00035,A2216B8C,PHY1103,4,Mariam Sidi,M,11.51,2018,IA
2018-2019,1,A00036,AFD7145D,PHY1103,4,Berg Fanta,F,4.81,2018,SRI
2018-2019,1,A00037,A558D4DD,PHY1103,4,Nana Ladji,M,6.85,2018,GL
2018-2019,1,A00038,A1D1234F,PHY1103,4,Hawa Kassim,M,8.22,2018,SRI
2018-2019,1,A00039,A5D3AB0C,PHY1103,4,Zongo Zakari,M,8.96,2018,GL
2018-2019,1,A00040,AD3F9385,PHY1103,4,Younoussa Amadou,M,14.24,2018,SRI
2018-2019,1,A00041,A5203DB4,PHY1103,4,Zoumana Adama,M,9.11,2018,SRI
2018-2019,1,A00042,ADFD273D,PHY1103,4,Guindo Akissi,F,20.0,2018,GC
2018-2019,1,A00043,AD2238B2,PHY1103,4,Aminata Abdou,M,6.89,2018,IS
