annee,semestre,anonymat,carte,ue,credit,nom_prenoms,sexe,note,cohorte,filiere
2018-2019,1,A0B26D86,A00027,ANG1100,2,Habib Bakary,M,15.38,2018,IS
2018-2019,1,ADC06B36,A00028,ANG1100,2,Zouolé Daouda,M,12.3,2018,GL
2018-2019,1,A1BF00E4,A00029,ANG1100,2,Kouyaté Aïcha,F,18.28,2018,IA
2018-2019,1,AE07C73B,A00030,ANG1100,2,Sali Younoussa,M,7.95,2018,SRI
2018-2019,1,A7855127,A00031,ANG1100,2,Zouma Ladji,M,15.02,2018,GL
2018-2019,1,A85C9439,A00032,ANG1100,2,Awa Sada,M,10.95,2018,GL
2018-2019,1,A594878E,A00033,ANG1100,2,Younoussa Zakari,M,13.1,2018,IA
2018-2019,1,A34E178D,A00034,ANG1100,2,Amadou Soumaïla,M,15.95,2018,GM
2018-2019,1,A2216B8C,A00035,ANG1100,2,Mariam Sidi,M,15.94,2018,IA
2018-2019,1,AFD7145D,A00036,ANG1100,2,Berg Fanta,F,12.73,2018,SRI
2018-2019,1,A558D4DD,A00037,ANG1100,2,Nana Ladji,M,3.23,2018,GL
2018-2019,1,A1D1234F,A00038,ANG1100,2,Hawa Kassim,M,10.58,2018,SRI
2018-2019,1,A5D3AB0C,A00039,ANG1100,2,Zongo Zakari,M,9.74,2018,GL
2018-2019,1,AD3F9385,A00040,ANG1100,2,Younoussa Amadou,M,9.81,2018,SRI
2018-2019,1,A5203DB4,A00041,ANG1100,2,Zoumana Adama,M,14.13,2018,SRI
2018-2019,1,ADFD273D,A00042,ANG1100,2,Guindo Akissi,F,12.01,2018,GC
2018-2019,1,AD2238B2,A00043,ANG1100,2,Aminata Abdou,M,5.92,2018,IS
2018-2019,1,AA0CCCF7,A00044,ANG1100,2,Gakou Mahamane,M,12.66,2018,GM
2018-2019,1,A9F79AB9,A00045,ANG1100,2,Kéita Souleymane,M,11.9,2018,LT
2018-2019,1,A2DE6ED3,A00046,ANG1100,2,Zoumana Mahamadou,M,8.75,2018,GE
2018-2019,1,A4DD506A,A00047,ANG1100,2,Halima Mariam,F,12.76,2018,SRI
2018-2019,1,AAF2E658,A00048,ANG1100,2,Mamadou Ladji,M,14.23,2018,SRI
2018-2019,1,A91159B4,A00049,ANG1100,2,Yattabaye Fousseyni,M,14.52,2018,GC
2018-2019,1,A28B2F1F,A00050,ANG1100,2,Coulibaly Abdoulaye,M,5.83,2018,GE
2018-2019,1,A69FCDA9,A00051,ANG1100,2,Bamba Zacharie,M,12.79,2018,IA
2018-2019,1,A0721469,A00052,ANG1100,2,Keita Ahou,F,13.1,2018,SRI
2018-2019,1,ADA5DE31,A00053,ANG1100,2,Ouattara Lamine,M,18.78,2018,GL
2018-2019,1,AEFC20CB,A00054,ANG1100,2,Lala Rachid,M,15.78,2018,IS
2018-2019,1,A7DB1011,A00055,ANG1100,2,Halima Adama,M,14.54,2018,IS
2018-2019,1,AE44530C,A00056,ANG1100,2,Fatoumata Lassana,M,8.91,2018,IA
2018-2019,1,A212C519,A00057,ANG1100,2,Keita Cheick,M,16.33,2018,LT
2018-2019,1,A054EFA7,A00058,ANG1100,2,Barry Hadja,F,13.59,2018,LT
2018-2019,1,AF868073,A00059,ANG1100,2,Haidara Rachid,M,19.11,2018,SRI
2018-2019,1,AF8C0FB6,A00060,ANG1100,2,Amadou Soumaïla,M,10.18,2018,LT
2018-2019,1,A8019220,A00061,ANG1100,2,Konaté Abdoulaye,M,10.41,2018,GE
2018-2019,1,AB4B45B9,A00062,ANG1100,2,Yattabaye Alhassane,M,12.64,2018,LT
2018-2019,1,A4D70C61,A00063,ANG1100,2,Boly Fatoumata,F,16.75,2018,LT
2018-2019,1,AC6C8B80,A00064,ANG1100,2,Yacouba Cheick,M,18.17,2018,GL
2018-2019,1,A20CD892,A00065,ANG1100,2,Kéita Karim,M,8.24,2018,IA
2018-2019,1,AC454E81,A00066,ANG1100,2,Ouattara Cheick,M,12.79,2018,IS
2018-2019,1,A05C5D87,A00067,ANG1100,2,Zacharie Modibo,M,11.78,2018,GM
2018-2019,1,A8217CA2,A00068,ANG1100,2,Nabintou Zakari,M,12.7,2018,GE
2018-2019,1,A8DCB59F,A00069,ANG1100,2,Traoré Vieux,M,12.84,2018,GM
2018-2019,1,A865E07C,A00070,ANG1100,2,Sylla Elhadj,M,7.33,2018,GL
2018-2019,1,AA4263C7,A00071,ANG1100,2,Hadja Modibo,M,8.94,2018,GM
2018-2019,1,A6BE84F8,A00072,ANG1100,2,Salif Moussa,M,8.11,2018,LT
2018-2019,1,A3A87054,A00073,ANG1100,2,Kadiatou Oumar,M,7.66,2018,GL
2018-2019,1,AC0E59D7,A00074,ANG1100,2,Sidibé Issa,M,10.64,2018,GM
2018-2019,1,A7DEC896,A00075,ANG1100,2,Makan Habib,M,9.07,2018,IS
2018-2019,1,A3C7379B,A00076,ANG1100,2,Salif Mahamane,M,15.26,2018,SRI
2018-2019,1,AC945840,A00077,ANG1100,2,Bissikolo Mahamane,M,15.28,2018,IA
2018-2019,1,A6C3024C,A00078,ANG1100,2,Gakou Mahamane,M,12.3,2018,GC
2018-2019,1,A9BE53FF,A00079,ANG1100,2,Djibril Alhassane,M,10.5,2018,GC
2018-2019,1,ABD41A83,A00080,ANG1100,2,Lassana Sidi,M,11.54,2018,GC
2018-2019,1,A5646F46,A00001,ECO1101,2,Adama Kadidia,F,13.06,2018,IS
2018-2019,1,A2BDCDD8,A00002,ECO1101,2,Kanté Ousmane,M,8.93,2018,GE
2018-2019,1,A6BAFDCB,A00003,ECO1101,2,Sidibé Rabi,F,9.8,2018,IA
2018-2019,1,A7AC0A37,A00004,ECO1101,2,Wagaté Ousmane,M,10.5,2018,LT
2018-2019,1,AD6B6E40,A00005,ECO1101,2,Touré Assétou,F,12.27,2018,GE
2018-2019,1,A91D111B,A00006,ECO1101,2,Bissikolo Mohamed,M,14.03,2018,SRI
2018-2019,1,A13C4CB0,A00007,ECO1101,2,Djité Zakari,M,12.07,2018,SRI
2018-2019,1,A40B7CFA,A00008,ECO1101,2,Sow Abdou,M,13.94,2018,GL
2018-2019,1,A54E8907,A00009,ECO1101,2,Bakary Zou,F,9.72,2018,SRI
2018-2019,1,A8B32663,A00010,ECO1101,2,Kouyaté Zacharie,M,15.37,2018,LT
2018-2019,1,AEB4508E,A00011,ECO1101,2,Amadou Lassana,M,10.71,2018,IS
2018-2019,1,A6FF448D,A00012,ECO1101,2,Cheick Harouna,M,8.13,2018,IS
2018-2019,1,AC6FEFC2,A00013,ECO1101,2,Salif Boureima,M,6.49,2018,LT
2018-2019,1,A14E7953,A00014,ECO1101,2,Alou Adama,M,10.73,2018,GM
2018-2019,1,A6AAFE49,A00015,ECO1101,2,Issa Zara,F,8.09,2018,IA
2018-2019,1,AAF92C17,A00016,ECO1101,2,Bintou Fousseyni,M,7.37,2018,GM
2018-2019,1,AF69C4C9,A00017,ECO1101,2,Karim Souleymane,M,10.98,2018,IS
2018-2019,1,A557AC5E,A00018,ECO1101,2,Fanta Sada,M,14.4,2018,IS
2018-2019,1,A0825C1F,A00019,ECO1101,2,Kéita Amadou,M,6.57,2018,IS
2018-2019,1,A274F380,A00020,ECO1101,2,Gakou Mahamadou,M,6.61,2018,IA
2018-2019,1,A635528B,A00021,ECO1101,2,Aïcha Awa,F,11.16,2018,GE
2018-2019,1,A2FD8F2B,A00022,ECO1101,2,Kouriba Brahima,M,15.92,2018,GC
2018-2019,1,A5AA60C3,A00023,ECO1101,2,Alou Fanta,F,11.61,2018,SRI
2018-2019,1,AEA090BD,A00024,ECO1101,2,Dabo Fousseyni,M,11.66,2018,GL
2018-2019,1,A3AF5D64,A00025,ECO1101,2,Sissoko Alima,F,10.0,2018,LT
2018-2019,1,A119731E,A00026,ECO1101,2,Zouolé Sitan,F,9.32,2018,IA
2018-2019,1,A0B26D86,A00027,ECO1101,2,Habib Bakary,M,9.39,2018,IS
2018-2019,1,ADC06B36,A00028,ECO1101,2,Zouolé Daouda,M,11.32,2018,GL
2018-2019,1,A1BF00E4,A00029,ECO1101,2,Kouyaté Aïcha,F,13.02,2018,IA
2018-2019,1,AE07C73B,A00030,ECO1101,2,Sali Younoussa,M,9.13,2018,SRI
2018-2019,1,A7855127,A00031,ECO1101,2,Zouma Ladji,M,12.3,2018,GL
2018-2019,1,A85C9439,A00032,ECO1101,2,Awa Sada,M,8.76,2018,GL
2018-2019,1,A594878E,A00033,ECO1101,2,Younoussa Zakari,M,15.66,2018,IA
2018-2019,1,A34E178D,A00034,ECO1101,2,Amadou Soumaïla,M,15.54,2018,GM
2018-2019,1,A2216B8C,A00035,ECO1101,2,Mariam Sidi,M,7.37,2018,IA
2018-2019,1,AFD7145D,A00036,ECO1101,2,Berg Fanta,F,7.27,2018,SRI
2018-2019,1,A558D4DD,A00037,ECO1101,2,Nana Ladji,M,8.64,2018,GL
2018-2019,1,A1D1234F,A00038,ECO1101,2,Hawa Kassim,M,11.55,2018,SRI
2018-2019,1,A5D3AB0C,A00039,ECO1101,2,Zongo Zakari,M,8.57,2018,GL
2018-2019,1,AD3F9385,A00040,ECO1101,2,Younoussa Amadou,M,5.22,2018,SRI
2018-2019,1,A5203DB4,A00041,ECO1101,2,Zoumana Adama,M,12.97,2018,SRI
2018-2019,1,ADFD273D,A00042,ECO1101,2,Guindo Akissi,F,17.31,2018,GC
2018-2019,1,AD2238B2,A00043,ECO1101,2,Aminata Abdou,M,12.81,2018,IS
2018-2019,1,AA0CCCF7,A00044,ECO1101,2,Gakou Mahamane,M,10.75,2018,GM
2018-2019,1,A9F79AB9,A00045,ECO1101,2,Kéita Souleymane,M,11.01,2018,LT
2018-2019,1,A2DE6ED3,A00046,ECO1101,2,Zoumana Mahamadou,M,12.65,2018,GE
2018-2019,1,A4DD506A,A00047,ECO1101,2,Halima Mariam,F,8.91,2018,SRI
2018-2019,1,AAF2E658,A00048,ECO1101,2,Mamadou Ladji,M,11.19,2018,SRI
2018-2019,1,A91159B4,A00049,ECO1101,2,Yattabaye Fousseyni,M,12.81,2018,GC
2018-2019,1,A28B2F1F,A00050,ECO1101,2,Coulibaly Abdoulaye,M,12.39,2018,GE
2018-2019,1,A69FCDA9,A00051,ECO1101,2,Bamba Zacharie,M,12.57,2018,IA
2018-2019,1,A0721469,A00052,ECO1101,2,Keita Ahou,F,12.9,2018,SRI
2018-2019,1,ADA5DE31,A00053,ECO1101,2,Ouattara Lamine,M,8.33,2018,GL
2018-2019,1,AEFC20CB,A00054,ECO1101,2,Lala Rachid,M,14.78,2018,IS
2018-2019,1,A7DB1011,A00055,ECO1101,2,Halima Adama,M,13.18,2018,IS
2018-2019,1,AE44530C,A00056,ECO1101,2,Fatoumata Lassana,M,8.72,2018,IA
2018-2019,1,A212C519,A00057,ECO1101,2,Keita Cheick,M,15.02,2018,LT
2018-2019,1,A054EFA7,A00058,ECO1101,2,Barry Hadja,F,11.53,2018,LT
2018-2019,1,AF868073,A00059,ECO1101,2,Haidara Rachid,M,15.46,2018,SRI
2018-2019,1,AF8C0FB6,A00060,ECO1101,2,Amadou Soumaïla,M,11.43,2018,LT
2018-2019,1,A8019220,A00061,ECO1101,2,Konaté Abdoulaye,M,10.78,2018,GE
2018-2019,1,AB4B45B9,A00062,ECO1101,2,Yattabaye Alhassane,M,8.61,2018,LT
2018-2019,1,A4D70C61,A00063,ECO1101,2,Boly Fatoumata,F,13.03,2018,LT
2018-2019,1,AC6C8B80,A00064,ECO1101,2,Yacouba Cheick,M,11.04,2018,GL
2018-2019,1,A20CD892,A00065,ECO1101,2,Kéita Karim,M,5.23,2018,IA
2018-2019,1,AC454E81,A00066,ECO1101,2,Ouattara Cheick,M,15.99,2018,IS
2018-2019,1,A05C5D87,A00067,ECO1101,2,Zacharie Modibo,M,12.94,2018,GM
2018-2019,1,A8217CA2,A00068,ECO1101,2,Nabintou Zakari,M,14.7,2018,GE
2018-2019,1,A8DCB59F,A00069,ECO1101,2,Traoré Vieux,M,9.03,2018,GM
2018-2019,1,A865E07C,A00070,ECO1101,2,Sylla Elhadj,M,15.1,2018,GL
2018-2019,1,AA4263C7,A00071,ECO1101,2,Hadja Modibo,M,9.74,2018,GM
2018-2019,1,A6BE84F8,A00072,ECO1101,2,Salif Moussa,M,9.2,2018,LT
2018-2019,1,A3A87054,A00073,ECO1101,2,Kadiatou Oumar,M,10.43,2018,GL
2018-2019,1,AC0E59D7,A00074,ECO1101,2,Sidibé Issa,M,12.66,2018,GM
2018-2019,1,A7DEC896,A00075,ECO1101,2,Makan Habib,M,10.23,2018,IS
2018-2019,1,A3C7379B,A00076,ECO1101,2,Salif Mahamane,M,11.46,2018,SRI
2018-2019,1,AC945840,A00077,ECO1101,2,Bissikolo Mahamane,M,10.34,2018,IA
2018-2019,1,A6C3024C,A00078,ECO1101,2,Gakou Mahamane,M,11.22,2018,GC
2018-2019,1,A9BE53FF,A00079,ECO1101,2,Djibril Alhassane,M,15.7,2018,GC
2018-2019,1,ABD41A83,A00080,ECO1101,2,Lassana Sidi,M,12.0,2018,GC
2018-2019,1,A5646F46,A00001,INF1102,2,Adama Kadidia,F,12.5,2018,IS
2018-2019,1,A2BDCDD8,A00002,INF1102,2,Kanté Ousmane,M,13.46,2018,GE
2018-2019,1,A6BAFDCB,A00003,INF1102,2,Sidibé Rabi,F,13.52,2018,IA
2018-2019,1,A7AC0A37,A00004,INF1102,2,Wagaté Ousmane,M,10.29,2018,LT
2018-2019,1,AD6B6E40,A00005,INF1102,2,Touré Assétou,F,10.85,2018,GE
2018-2019,1,A91D111B,A00006,INF1102,2,Bissikolo Mohamed,M,13.8,2018,SRI
2018-2019,1,A13C4CB0,A00007,INF1102,2,Djité Zakari,M,11.31,2018,SRI
2018-2019,1,A40B7CFA,A00008,INF1102,2,Sow Abdou,M,10.01,2018,GL
2018-2019,1,A54E8907,A00009,INF1102,2,Bakary Zou,F,15.23,2018,SRI
2018-2019,1,A8B32663,A00010,INF1102,2,Kouyaté Zacharie,M,18.32,2018,LT
2018-2019,1,AEB4508E,A00011,INF1102,2,Amadou Lassana,M,6.97,2018,IS
2018-2019,1,A6FF448D,A00012,INF1102,2,Cheick Harouna,M,11.96,2018,IS
2018-2019,1,AC6FEFC2,A00013,INF1102,2,Salif Boureima,M,14.71,2018,LT
2018-2019,1,A14E7953,A00014,INF1102,2,Alou Adama,M,14.36,2018,GM
2018-2019,1,A6AAFE49,A00015,INF1102,2,Issa Zara,F,13.83,2018,IA
2018-2019,1,AAF92C17,A00016,INF1102,2,Bintou Fousseyni,M,11.32,2018,GM
2018-2019,1,AF69C4C9,A00017,INF1102,2,Karim Souleymane,M,10.07,2018,IS
2018-2019,1,A557AC5E,A00018,INF1102,2,Fanta Sada,M,10.11,2018,IS
2018-2019,1,A0825C1F,A00019,INF1102,2,Kéita Amadou,M,14.2,2018,IS
2018-2019,1,A274F380,A00020,INF1102,2,Gakou Mahamadou,M,12.68,2018,IA
2018-2019,1,A635528B,A00021,INF1102,2,Aïcha Awa,F,18.97,2018,GE
2018-2019,1,A2FD8F2B,A00022,INF1102,2,Kouriba Brahima,M,18.03,2018,GC
2018-2019,1,A5AA60C3,A00023,INF1102,2,Alou Fanta,F,12.22,2018,SRI
2018-2019,1,AEA090BD,A00024,INF1102,2,Dabo Fousseyni,M,7.61,2018,GL
2018-2019,1,A3AF5D64,A00025,INF1102,2,Sissoko Alima,F,13.03,2018,LT
2018-2019,1,A119731E,A00026,INF1102,2,Zouolé Sitan,F,14.05,2018,IA
2018-2019,1,A0B26D86,A00027,INF1102,2,Habib Bakary,M,9.41,2018,IS
2018-2019,1,ADC06B36,A00028,INF1102,2,Zouolé Daouda,M,10.95,2018,GL
2018-2019,1,A1BF00E4,A00029,INF1102,2,Kouyaté Aïcha,F,14.32,2018,IA
2018-2019,1,AE07C73B,A00030,INF1102,2,Sali Younoussa,M,9.53,2018,SRI
2018-2019,1,A7855127,A00031,INF1102,2,Zouma Ladji,M,11.3,2018,GL
2018-2019,1,A85C9439,A00032,INF1102,2,Awa Sada,M,11.08,2018,GL
2018-2019,1,A594878E,A00033,INF1102,2,Younoussa Zakari,M,14.33,2018,IA
2018-2019,1,A34E178D,A00034,INF1102,2,Amadou Soumaïla,M,16.26,2018,GM
2018-2019,1,A2216B8C,A00035,INF1102,2,Mariam Sidi,M,13.36,2018,IA
2018-2019,1,AFD7145D,A00036,INF1102,2,Berg Fanta,F,9.98,2018,SRI
2018-2019,1,A558D4DD,A00037,INF1102,2,Nana Ladji,M,6.58,2018,GL
2018-2019,1,A1D1234F,A00038,INF1102,2,Hawa Kassim,M,15.34,2018,SRI
2018-2019,1,A5D3AB0C,A00039,INF1102,2,Zongo Zakari,M,8.59,2018,GL
2018-2019,1,AD3F9385,A00040,INF1102,2,Younoussa Amadou,M,3.93,2018,SRI
2018-2019,1,A5203DB4,A00041,INF1102,2,Zoumana Adama,M,8.33,2018,SRI
2018-2019,1,ADFD273D,A00042,INF1102,2,Guindo Akissi,F,17.06,2018,GC
2018-2019,1,AD2238B2,A00043,INF1102,2,Aminata Abdou,M,10.72,2018,IS
2018-2019,1,AA0CCCF7,A00044,INF1102,2,Gakou Mahamane,M,10.91,2018,GM
2018-2019,1,A9F79AB9,A00045,INF1102,2,Kéita Souleymane,M,17.4,2018,LT
2018-2019,1,A2DE6ED3,A00046,INF1102,2,Zoumana Mahamadou,M,7.48,2018,GE
2018-2019,1,A4DD506A,A00047,INF1102,2,Halima Mariam,F,11.82,2018,SRI
2018-2019,1,AAF2E658,A00048,INF1102,2,Mamadou Ladji,M,18.56,2018,SRI
2018-2019,1,A91159B4,A00049,INF1102,2,Yattabaye Fousseyni,M,12.94,2018,GC
2018-2019,1,A28B2F1F,A00050,INF1102,2,Coulibaly Abdoulaye,M,8.43,2018,GE
2018-2019,1,A69FCDA9,A00051,INF1102,2,Bamba Zacharie,M,7.95,2018,IA
2018-2019,1,A0721469,A00052,INF1102,2,Keita Ahou,F,9.21,2018,SRI
2018-2019,1,ADA5DE31,A00053,INF1102,2,Ouattara Lamine,M,10.87,2018,GL
2018-2019,1,AEFC20CB,A00054,INF1102,2,Lala Rachid,M,19.25,2018,IS
2018-2019,1,A7DB1011,A00055,INF1102,2,Halima Adama,M,19.44,2018,IS
2018-2019,1,AE44530C,A00056,INF1102,2,Fatoumata Lassana,M,8.32,2018,IA
2018-2019,1,A212C519,A00057,INF1102,2,Keita Cheick,M,20.0,2018,LT
2018-2019,1,A054EFA7,A00058,INF1102,2,Barry Hadja,F,11.93,2018,LT
2018-2019,1,AF868073,A00059,INF1102,2,Haidara Rachid,M,20.0,2018,SRI
2018-2019,1,AF8C0FB6,A00060,INF1102,2,Amadou Soumaïla,M,11.41,2018,LT
2018-2019,1,A8019220,A00061,INF1102,2,Konaté Abdoulaye,M,12.12,2018,GE
2018-2019,1,AB4B45B9,A00062,INF1102,2,Yattabaye Alhassane,M,15.24,2018,LT
2018-2019,1,A4D70C61,A00063,INF1102,2,Boly Fatoumata,F,20.0,2018,LT
2018-2019,1,AC6C8B80,A00064,INF1102,2,Yacouba Cheick,M,16.64,2018,GL
2018-2019,1,A20CD892,A00065,INF1102,2,Kéita Karim,M,7.29,2018,IA
2018-2019,1,AC454E81,A00066,INF1102,2,Ouattara Cheick,M,17.21,2018,IS
2018-2019,1,A05C5D87,A00067,INF1102,2,Zacharie Modibo,M,9.72,2018,GM
2018-2019,1,A8217CA2,A00068,INF1102,2,Nabintou Zakari,M,11.84,2018,GE
2018-2019,1,A8DCB59F,A00069,INF1102,2,Traoré Vieux,M,13.08,2018,GM
2018-2019,1,A865E07C,A00070,INF1102,2,Sylla Elhadj,M,13.96,2018,GL
2018-2019,1,AA4263C7,A00071,INF1102,2,Hadja Modibo,M,12.26,2018,GM
2018-2019,1,A6BE84F8,A00072,INF1102,2,Salif Moussa,M,10.45,2018,LT
2018-2019,1,A3A87054,A00073,INF1102,2,Kadiatou Oumar,M,15.49,2018,GL
2018-2019,1,AC0E59D7,A00074,INF1102,2,Sidibé Issa,M,14.84,2018,GM
2018-2019,1,A7DEC896,A00075,INF1102,2,Makan Habib,M,5.43,2018,IS
2018-2019,1,A3C7379B,A00076,INF1102,2,Salif Mahamane,M,18.05,2018,SRI
2018-2019,1,AC945840,A00077,INF1102,2,Bissikolo Mahamane,M,8.89,2018,IA
2018-2019,1,A6C3024C,A00078,INF1102,2,Gakou Mahamane,M,8.33,2018,GC
2018-2019,1,A9BE53FF,A00079,INF1102,2,Djibril Alhassane,M,13.32,2018,GC
2018-2019,1,ABD41A83,A00080,INF1102,2,Lassana Sidi,M,12.0,2018,GC
2018-2019,1,A5646F46,A00001,PHY1103,4,Adama Kadidia,F,6.89,2018,IS
2018-2019,1,A2BDCDD8,A00002,PHY1103,4,Kanté Ousmane,M,13.09,2018,GE
2018-2019,1,A6BAFDCB,A00003,PHY1103,4,Sidibé Rabi,F,5.25,2018,IA
2018-2019,1,A7AC0A37,A00004,PHY1103,4,Wagaté Ousmane,M,6.51,2018,LT
2018-2019,1,AD6B6E40,A00005,PHY1103,4,Touré Assétou,F,9.24,2018,GE
2018-2019,1,A91D111B,A00006,PHY1103,4,Bissikolo Mohamed,M,11.27,2018,SRI
2018-2019,1,A13C4CB0,A00007,PHY1103,4,Djité Zakari,M,12.0,2018,SRI
2018-2019,1,A40B7CFA,A00008,PHY1103,4,Sow Abdou,M,7.27,2018,GL
2018-2019,1,A54E8907,A00009,PHY1103,4,Bakary Zou,F,13.58,2018,SRI
2018-2019,1,A8B32663,A00010,PHY1103,4,Kouyaté Zacharie,M,14.45,2018,LT
2018-2019,1,AEB4508E,A00011,PHY1103,4,Amadou Lassana,M,2.5,2018,IS
2018-2019,1,A6FF448D,A00012,PHY1103,4,Cheick Harouna,M,1.8,2018,IS
2018-2019,1,AC6FEFC2,A00013,PHY1103,4,Salif Boureima,M,8.57,2018,LT
2018-2019,1,A14E7953,A00014,PHY1103,4,Alou Adama,M,7.19,2018,GM
2018-2019,1,A6AAFE49,A00015,PHY1103,4,Issa Zara,F,7.23,2018,IA
2018-2019,1,AAF92C17,A00016,PHY1103,4,Bintou Fousseyni,M,8.24,2018,GM
2018-2019,1,AF69C4C9,A00017,PHY1103,4,Karim Souleymane,M,10.88,2018,IS
2018-2019,1,A557AC5E,A00018,PHY1103,4,Fanta Sada,M,14.53,2018,IS
2018-2019,1,A0825C1F,A00019,PHY1103,4,Kéita Amadou,M,5.85,2018,IS
2018-2019,1,A274F380,A00020,PHY1103,4,Gakou Mahamadou,M,3.98,2018,IA
2018-2019,1,A635528B,A00021,PHY1103,4,Aïcha Awa,F,7.62,2018,GE
2018-2019,1,A2FD8F2B,A00022,PHY1103,4,Kouriba Brahima,M,12.75,2018,GC
2018-2019,1,A5AA60C3,A00023,PHY1103,4,Alou Fanta,F,14.72,2018,SRI
2018-2019,1,AEA090BD,A00024,PHY1103,4,Dabo Fousseyni,M,7.12,2018,GL
2018-2019,1,A3AF5D64,A00025,PHY1103,4,Sissoko Alima,F,1.37,2018,LT
2018-2019,1,A119731E,A00026,PHY1103,4,Zouolé Sitan,F,3.79,2018,IA
2018-2019,1,A0B26D86,A00027,PHY1103,4,Habib Bakary,M,3.95,2018,IS
2018-2019,1,ADC06B36,A00028,PHY1103,4,Zouolé Daouda,M,7.8,2018,GL
2018-2019,1,A1BF00E4,A00029,PHY1103,4,Kouyaté Aïcha,F,9.05,2018,IA
2018-2019,1,AE07C73B,A00030,PHY1103,4,Sali Younoussa,M,8.48,2018,SRI
2018-2019,1,A7855127,A00031,PHY1103,4,Zouma Ladji,M,9.28,2018,GL
2018-2019,1,A85C9439,A00032,PHY1103,4,Awa Sada,M,11.35,2018,GL
2018-2019,1,A594878E,A00033,PHY1103,4,Younoussa Zakari,M,10.14,2018,IA
2018-2019,1,A34E178D,A00034,PHY1103,4,Amadou Soumaïla,M,9.23,2018,GM
2018-2019,1,A2216B8C,A00035,PHY1103,4,Mariam Sidi,M,11.51,2018,IA
2018-2019,1,AFD7145D,A00036,PHY1103,4,Berg Fanta,F,4.81,2018,SRI
2018-2019,1,A558D4DD,A00037,PHY1103,4,Nana Ladji,M,6.85,2018,GL
2018-2019,1,A1D1234F,A00038,PHY1103,4,Hawa Kassim,M,8.22,2018,SRI
2018-2019,1,A5D3AB0C,A00039,PHY1103,4,Zongo Zakari,M,8.96,2018,GL
2018-2019,1,AD3F9385,A00040,PHY1103,4,Younoussa Amadou,M,14.24,2018,SRI
2018-2019,1,A5203DB4,A00041,PHY1103,4,Zoumana Adama,M,9.11,2018,SRI
2018-2019,1,ADFD273D,A00042,PHY1103,4,Guindo Akissi,F,20.0,2018,GC
2018-2019,1,AD2238B2,A00043,PHY1103,4,Aminata Abdou,M,6.89,2018,IS
2018-2019,1,AA0CCCF7,A00044,PHY1103,4,Gakou Mahamane,M,3.42,2018,GM
2018-2019,1,A9F79AB9,A00045,PHY1103,4,Kéita Souleymane,M,10.88,2018,LT
2018-2019,1,A2DE6ED3,A00046,PHY1103,4,Zoumana Mahamadou,M,9.11,2018,GE
2018-2019,1,A4DD506A,A00047,PHY1103,4,Halima Mariam,F,4.72,2018,SRI
